Wahlkreis;Partei;Jahr;Ergebnis
Mitte;CDU;2017;18,6
Mitte;CDU;2013;22,6
Mitte;SPD;2017;17,9
Mitte;SPD;2013;26,1
Mitte;Linke;2017;21,5
Mitte;Linke;2013;18,7
Mitte;Gruene;2017;17,2
Mitte;Gruene;2013;16,7
Mitte;AfD;2017;8,2
Mitte;AfD;2013;3,9
Mitte;FDP;2017;8,7
Mitte;FDP;2013;3,7
Mitte;Sonstige;2017;7,9
Mitte;Sonstige;2013;8,3
Pankow;CDU;2017;19,8
Pankow;CDU;2013;23,5
Pankow;SPD;2017;15,6
Pankow;SPD;2013;22
Pankow;Linke;2017;23,5
Pankow;Linke;2013;25,2
Pankow;Gruene;2017;14,3
Pankow;Gruene;2013;14,1
Pankow;AfD;2017;12,5
Pankow;AfD;2013;4,8
Pankow;FDP;2017;6,6
Pankow;FDP;2013;2,5
Pankow;Sonstige;2017;7,7
Pankow;Sonstige;2013;7,9
Reinickendorf;CDU;2017;31
Reinickendorf;CDU;2013;40,1
Reinickendorf;SPD;2017;20
Reinickendorf;SPD;2013;26,4
Reinickendorf;Linke;2017;8,5
Reinickendorf;Linke;2013;7,9
Reinickendorf;Gruene;2017;9,1
Reinickendorf;Gruene;2013;8,7
Reinickendorf;AfD;2017;13,7
Reinickendorf;AfD;2013;6
Reinickendorf;FDP;2017;11,4
Reinickendorf;FDP;2013;4,4
Reinickendorf;Sonstige;2017;6,3
Reinickendorf;Sonstige;2013;6,5
Spandau-Charlottenburg-Nord;CDU;2017;28,1
Spandau-Charlottenburg-Nord;CDU;2013;36,6
Spandau-Charlottenburg-Nord;SPD;2017;22,7
Spandau-Charlottenburg-Nord;SPD;2013;28,9
Spandau-Charlottenburg-Nord;Linke;2017;9,8
Spandau-Charlottenburg-Nord;Linke;2013;9,5
Spandau-Charlottenburg-Nord;Gruene;2017;8,5
Spandau-Charlottenburg-Nord;Gruene;2013;8,2
Spandau-Charlottenburg-Nord;AfD;2017;14,1
Spandau-Charlottenburg-Nord;AfD;2013;5,8
Spandau-Charlottenburg-Nord;FDP;2017;9,9
Spandau-Charlottenburg-Nord;FDP;2013;3,8
Spandau-Charlottenburg-Nord;Sonstige;2017;6,9
Spandau-Charlottenburg-Nord;Sonstige;2013;7,2
Steglitz-Zehlendorf;CDU;2017;29,8
Steglitz-Zehlendorf;CDU;2013;37,2
Steglitz-Zehlendorf;SPD;2017;19,2
Steglitz-Zehlendorf;SPD;2013;25,6
Steglitz-Zehlendorf;Linke;2017;9,1
Steglitz-Zehlendorf;Linke;2013;7,2
Steglitz-Zehlendorf;Gruene;2017;14,2
Steglitz-Zehlendorf;Gruene;2013;13,5
Steglitz-Zehlendorf;AfD;2017;8,8
Steglitz-Zehlendorf;AfD;2013;5,3
Steglitz-Zehlendorf;FDP;2017;14,2
Steglitz-Zehlendorf;FDP;2013;6,4
Steglitz-Zehlendorf;Sonstige;2017;4,7
Steglitz-Zehlendorf;Sonstige;2013;4,8
Charlottenburg-Wilmersdorf;CDU;2017;25,6
Charlottenburg-Wilmersdorf;CDU;2013;32,5
Charlottenburg-Wilmersdorf;SPD;2017;19,4
Charlottenburg-Wilmersdorf;SPD;2013;27,1
Charlottenburg-Wilmersdorf;Linke;2017;11,7
Charlottenburg-Wilmersdorf;Linke;2013;8,9
Charlottenburg-Wilmersdorf;Gruene;2017;15,8
Charlottenburg-Wilmersdorf;Gruene;2013;15,4
Charlottenburg-Wilmersdorf;AfD;2017;7,9
Charlottenburg-Wilmersdorf;AfD;2013;4,8
Charlottenburg-Wilmersdorf;FDP;2017;14,9
Charlottenburg-Wilmersdorf;FDP;2013;6,8
Charlottenburg-Wilmersdorf;Sonstige;2017;4,7
