Wahlkreis;Partei;Jahr;Ergebnis
Spandau-Charlottenburg-Nord;CDU;2017;28,1
Spandau-Charlottenburg-Nord;CDU;2013;36,6
Spandau-Charlottenburg-Nord;SPD;2017;22,7
Spandau-Charlottenburg-Nord;SPD;2013;28,9
Spandau-Charlottenburg-Nord;Linke;2017;9,8
Spandau-Charlottenburg-Nord;Linke;2013;9,5
Spandau-Charlottenburg-Nord;Gruene;2017;8,5
Spandau-Charlottenburg-Nord;Gruene;2013;8,2
Spandau-Charlottenburg-Nord;AfD;2017;14,1
Spandau-Charlottenburg-Nord;AfD;2013;5,8
Spandau-Charlottenburg-Nord;FDP;2017;9,9
Spandau-Charlottenburg-Nord;FDP;2013;3,8
Spandau-Charlottenburg-Nord;Sonstige;2017;6,9
Spandau-Charlottenburg-Nord;Sonstige;2013;7,2
