Wahlkreis;Partei;Jahr;Ergebnis
Steglitz-Zehlendorf;CDU;2017;29,8
Steglitz-Zehlendorf;CDU;2013;37,2
Steglitz-Zehlendorf;SPD;2017;19,2
Steglitz-Zehlendorf;SPD;2013;25,6
Steglitz-Zehlendorf;Linke;2017;9,1
Steglitz-Zehlendorf;Linke;2013;7,2
Steglitz-Zehlendorf;Gruene;2017;14,2
Steglitz-Zehlendorf;Gruene;2013;13,5
Steglitz-Zehlendorf;AfD;2017;8,8
Steglitz-Zehlendorf;AfD;2013;5,3
Steglitz-Zehlendorf;FDP;2017;14,2
Steglitz-Zehlendorf;FDP;2013;6,4
Steglitz-Zehlendorf;Sonstige;2017;4,7
Steglitz-Zehlendorf;Sonstige;2013;4,8
