Wahlkreis;Partei;Jahr;Ergebnis
Charlottenburg-Wilmersdorf;CDU;2017;25,6
Charlottenburg-Wilmersdorf;CDU;2013;32,5
Charlottenburg-Wilmersdorf;SPD;2017;19,4
Charlottenburg-Wilmersdorf;SPD;2013;27,1
Charlottenburg-Wilmersdorf;Linke;2017;11,7
Charlottenburg-Wilmersdorf;Linke;2013;8,9
Charlottenburg-Wilmersdorf;Gruene;2017;15,8
Charlottenburg-Wilmersdorf;Gruene;2013;15,4
Charlottenburg-Wilmersdorf;AfD;2017;7,9
Charlottenburg-Wilmersdorf;AfD;2013;4,8
Charlottenburg-Wilmersdorf;FDP;2017;14,9
Charlottenburg-Wilmersdorf;FDP;2013;6,8
Charlottenburg-Wilmersdorf;Sonstige;2017;4,7
Charlottenburg-Wilmersdorf;Sonstige;2013;4,5
