Wahlkreis;Partei;Jahr;Ergebnis
Tempelhof-Schoeneberg;CDU;2017;25
Tempelhof-Schoeneberg;CDU;2013;31,7
Tempelhof-Schoeneberg;SPD;2017;20,2
Tempelhof-Schoeneberg;SPD;2013;27,4
Tempelhof-Schoeneberg;Linke;2017;13,2
Tempelhof-Schoeneberg;Linke;2013;10,3
Tempelhof-Schoeneberg;Gruene;2017;15,6
Tempelhof-Schoeneberg;Gruene;2013;15,4
Tempelhof-Schoeneberg;AfD;2017;9,6
Tempelhof-Schoeneberg;AfD;2013;4,6
Tempelhof-Schoeneberg;FDP;2017;10,4
Tempelhof-Schoeneberg;FDP;2013;4,1
Tempelhof-Schoeneberg;Sonstige;2017;6
Tempelhof-Schoeneberg;Sonstige;2013;6,5
