Wahlkreis;Partei;Jahr;Ergebnis
Friedrichshain-Kreuzberg-Prenzlauer-Berg-Ost;CDU;2017;13,9
Friedrichshain-Kreuzberg-Prenzlauer-Berg-Ost;CDU;2013;15,4
Friedrichshain-Kreuzberg-Prenzlauer-Berg-Ost;SPD;2017;15,9
Friedrichshain-Kreuzberg-Prenzlauer-Berg-Ost;SPD;2013;24
Friedrichshain-Kreuzberg-Prenzlauer-Berg-Ost;Linke;2017;28,5
Friedrichshain-Kreuzberg-Prenzlauer-Berg-Ost;Linke;2013;25,1
Friedrichshain-Kreuzberg-Prenzlauer-Berg-Ost;Gruene;2017;20,4
Friedrichshain-Kreuzberg-Prenzlauer-Berg-Ost;Gruene;2013;20,8
Friedrichshain-Kreuzberg-Prenzlauer-Berg-Ost;AfD;2017;6,3
Friedrichshain-Kreuzberg-Prenzlauer-Berg-Ost;AfD;2013;2,8
Friedrichshain-Kreuzberg-Prenzlauer-Berg-Ost;FDP;2017;5,9
Friedrichshain-Kreuzberg-Prenzlauer-Berg-Ost;FDP;2013;2,2
Friedrichshain-Kreuzberg-Prenzlauer-Berg-Ost;Sonstige;2017;9,1
Friedrichshain-Kreuzberg-Prenzlauer-Berg-Ost;Sonstige;2013;9,7
