Wahlkreis;Partei;Jahr;Ergebnis
Marzahn-Hellersdorf;CDU;2017;20,9
Marzahn-Hellersdorf;CDU;2013;26
Marzahn-Hellersdorf;SPD;2017;14,5
Marzahn-Hellersdorf;SPD;2013;19,2
Marzahn-Hellersdorf;Linke;2017;26,1
Marzahn-Hellersdorf;Linke;2013;32,9
Marzahn-Hellersdorf;Gruene;2017;4,1
Marzahn-Hellersdorf;Gruene;2013;3,9
Marzahn-Hellersdorf;AfD;2017;21,6
Marzahn-Hellersdorf;AfD;2013;6,4
Marzahn-Hellersdorf;FDP;2017;5,3
Marzahn-Hellersdorf;FDP;2013;1,7
Marzahn-Hellersdorf;Sonstige;2017;7,5
Marzahn-Hellersdorf;Sonstige;2013;9,9
